"names","descr"
"Champ Libre Chenin Blanc 2016","This example is racy and abounds with peachy flavours and a tangy apple skin finish."
"Lay & Wheeler Barolo 2011","The have put all this knowledge to good use to source this fabulous example that is stuffed with bright cherry flavours and lifted floral notes."
"Lay & Wheeler Chablis 2014"," It possesses all the classic elements of Chablis; fine apple and citrus flavours, complex mineral notes and a finely perfumed finish."
"Au Bon Climat Chardonnay 2015 Santa Barbara","An immensely complex nose of ripe apple, orange zest, toast and roasted hazelnut. The palate offers bright fruit and a lush feel, with an enduring nuttiness that provides a long and involving finish."
"Castelnau de Suduiraut 2011 Sauternes","The 2009 Castelnau de Suduiraut is a hugely intense experience, with immense, honeyed sweetness counterbalanced by an involving complexity. Great with poached pears."
"Morande Reserva One to One Pais 2016"," Reminiscent of good Beaujolais this wine is light and fruity with red cherry and raspberry flavours followed by an earthy and spicy finish."
"Gigondas Carobelle",NA
"Stags Leap Wine Cellars 'Artemis' Cabernet Sauvignon 2014 Napa Valley","On the palate it is rich and has lots of depth, huge flavours of cherry, coffee and chocolate are underpinned by ripe tannins and good acidity. This would be ideal with Sirloin steak and chips."
"Cloudy Bay Pelorus Ros NV New Zealand","Fine bubbles and a pale pink colour. The palate is explosive and abundant, with lashings of cherry fruit and sweet spice. Drink with canaps."
"Papa Luna 2014 Calatayud","Flying Scotsman' Norrel Robertson is a well-travelled and studied Master of Wine, who collaborated with local growers in the Calatayud region, to produce this quality Garnacha-dominated blend."
"Postigo 5 Anos 2011","Aged to perfection this is fully harmonious with soft tannins and a fine, flavourful finish"
"Mendel Selection Malbec 2015","They have selected the finest grapes from this vineyard plus two others to blend this wine exclusively for us."
"Peller Estates Riesling Icewine 2013 Niagara Peninsula","Aromatically rich and diverse, offering an intense bouquet of sweet tangerine rind, pear and floral scents. The sweetness and unctuous texture are balanced perfectly by vibrant citrus character."
"Cillar de Silos Crianza 2014 Ribera del Duero","Rich and meaty on the palate, the wine shows intense aromas of strawberries, blackberries, chocolate and vanilla. Great with venison."
"Barbera dAsti 2015 De Forville","Intense aromas of red cherry, vanilla, rose petal and spice leap from the glass, with the intense, powerful palate exhibiting an elegant balance of fruit and tannin to a long, smooth and crisp finish."
"Paul Mas Estate Marsanne 'La Forge Vineyard' 2016 PGI Pays dOc","Elegant with white flower and hazelnut aromas and delicious pear and honey flavours. Perfectly suited to fish dishes, from delicate to full-flavoured."
"Yalumba Y-Series Cabernet Sauvignon 2014 South Australia"," Supple and approachable on the palate, with a generous texture."
"Alamos Uco Valley Viognier 2016","This fine Viognier is both delicate and powerful at the same time.  Rich stone fruit flavours are balanced but beautiful floral notes of blossom and honeysuckle."
"Rymill Classic Cabernet 2014","A classic cabernet nose of blackcurrant and black forest fruit is followed by rich dark cherries, raspberry leaf and spicy notes of mocha and vanilla on the palate."
"Turkey Flat Shiraz 2014 Barossa Valley","This iconic Shiraz is one of the finest produced in the Barossa Valley. A nose of road tar, black fruit and violets. The palate is very concentrated with intelligent use of oak and a fabulous texture."
"Ctes du Rhne Rserve Rouge 2015 Perrin et Fils","Intense aromas of red fruits, black cherry, peppermint and vanilla. Full bodied with warm fruits and spice, firm tannin and fresh acidity. Well structured with layers of flavour and rich, long finish."
"Chandon Brut NV Argentina","A quality sparkling wine produced by Champagne House Mot & Chandon - fresh and elegant."
"Glenelly Lady May 2010","This is a very fine wine. Drink now-2019."
"La Rserve de Loville-Barton 2013/2014 St-Julien","With a classic 'left bank' nose of smoky blackberry fruit and pencil lead the palate is rich and rounded with assertive tannins, ample fruit and well integrated oak. Perfect with beef or lamb."
"Essensia Orange Muscat 2015 Andrew Quady Half Bottle","An aroma reminiscent of orange blossom and apricots. The palate is rich and sweet, with vibrant peachy and orangey fruit. Ends with a lingering, refreshing aftertaste."
"Sancerre Ros 2016 Jean-Marie Berthier","This light, fresh and elegant ros. Offering up fantastic structure and minerality on both nose and palate, the fresh, summer fruit flavours are perfectly balanced."
"Vox Populi Bobal 2014 Utiel-Requena","A weighty, muscular red wine, offering a dense core of forest fruit flavours framed by smooth yet abundant tannins."
"Jaboulet Syrah 2013","This wine offers the classic Syrah characters of blackcurrant and liquorice, with subtle aromas of wild shrubs and pepper."
"Barbaresco 2014 De Forville","Dark cherries and leather with earthy hints, and a rose perfume, a charming, well integrated wine with a long finish. Muscular tannins give the wine a solid backbone."
"Hardys Tintara Sangiovese","A light and approachable red, with Sangiovese's typical redcurrant and cherry fruit characters in abundance"
"Amontillado Seco Napoleon Hidalgo","Bone dry with enticing nutty flavours, a slightly oxididised character and a mouthwatering, pungent, yeasty tang. Incredibly versatile, this is delicious served slightly cool."
"Pedro's Almacenista Selection Oloroso","Warm and rounded in style. Full-bodied, with a nutty complexity; expansive on the palate. Excellent with rich foods such as, casseroles or red meat stews."
"Chablis 1er Cru Fourchaume Domaine Chatelain","At their best, such as this example, these wine approach Grand Cru quality."
"The King's Favour Sauvignon Blanc 2016 Marlborough","A lively and intense, yet focused nose, with fresh citrus and a youthful, sweet tree sap note. At its best with fresh oysters, delicate white fish dishes, or soft and creamy goat's cheeses."
"The King's Legacy Chardonnay 2016 Marlborough","An easily enjoyable Chardonnay that combines fresh apple, nectarine and tangerine flavours with subtle creaminess, hints of toasted almonds and a gently spicy complexity."
"Croft 10 Year Old Tawny","The 10 Year Old Tawny is drawn from a reserve of fine wood ports which have been aged to full maturity."
"Hidalgo Manzanilla La Gitana","Elegantly structured claret, with aromas of pencil lead and sandalwood, and a bramble backbone. A good level of ripeness, medium body, and tannins of a firm, taut character."
"Pouilly Loche Les Mures Trou.","Domaine Trouillet's Pouilly Loche has lively citrus and apple flavours and a fine mineral finish typical of the appellation."
"Aresti Bellavista Chardonnay 2016","This creamy and complex Chardonnay oozes with tropical fruit flavours, notably pineapple, enhanced by vanilla notes."
"Apostoles 30-Year-Old Palo Cortado Gonzalez Byass Half Bottle","Dark amber in colour, with intense nuttiness and caramel on the nose but a dry finish with a delicate yet mouth-filling warmth."
"Alamos Uco Valley Chardonnay 2016","The Alamos Chardonnay from the Uco Valley has a fine array of bright fruit flavours including lemon, ripe apple and peach.  There are further notes of tropical fruit and a touch of toasty oak."
"Crozes-Hermitage 'Petite Ruche' 2015 M. Chapoutier","Intense ruby-purple colour. Ripe blackberry aromas dominate the nose, and are supported by subtle sage-like hints. Supple tannins give a round shape to the medium-weight, smooth-textured palate."
"Jackson Estate Grey Ghost Sauvignon Blanc 2013 Marlborough","Pungently aromatic, as befits top Marlborough Sauvignon, but with Jackson's trademark restraint and focus. Nettle and gooseberry characters aligned perfectly with tangy citrus fruit."
"Pedro's Almacenista Selection Palo Cortado","This wine combines the richness on the palate of the Oloroso with the delicacy on nose of the Amontillado."
"Fairbourne Sauvignon Blanc 2016 Marlborough","Intense yet with a slightly reserved character, this well-balanced Sauvignon possesses an elegance and minerality normally only achieved by the top Sancerre and Pouilly-Fum estates."
"Mcon-Fuiss Vieilles Vignes 2016 Christophe Cordier","A medley of ripe apple and zesty lemon fruit characters creates great depth, with some body coming from careful use of oak. Slight mineral in the form of slate is detectable on the palate."
"Domaine de la Metairie DAlon Pinot Noir Le Village","Made by Abbotts & Delaunay this smooth southern French Pinot Noir has true Burgundian character and quality with fresh flavours of black cherries and spice."
"Morande M Pinot Noir 2016","As seen on TV. A fresh, fruit driven Pinot Noir choc-full of red fruits with hints of clove, chocolate and coffee."
"Chateau de Fesles Anjou Blanc 2015","This bright yellow Chenin Blanc has aromas of lime and elderflower that burst from the glass."
"The Cup And Rings Godello Sobre Lias 2015 Monterrai","The nose displays rich baked apple, honey and brioche.  The palate is fruity, full and soft but with a refreshing acidity."
"Tio Pepe Fino Gonzalez Byass","Being made from the highest quality must, the Yema, it has a distinctive, clean aroma and is bone dry with a savoury character. It represents the ultimate aperitif."
"Diemersdal Gruner Veltliner 2017 Durbanville","As seen on TV. A medium bodied wine, with a concentrated palate and a long lingering and mineral finish."
"10 year old Malmsey NV Henriques & Henriques","Intense coffee and raisin aromas with caramel and complex spicy aromas. Luxurious sweetness, silky textured fruit on the palate, bracing acidity with a fantastic finish."
"Ata Rangi Craighall Chardonnay 2014 Martinborough","With hints of peach and orange blossom and underlying notes of fig and clover honey, plus a light touch of superbly integrated French oak."
"Au Bon Climat Hildegard 2013 Santa Maria Valley","This is an unusual and complex wine, inspired by oft-forgotten white varieties of Burgundy."
"Chandon Ros NV Argentina","Rose pink with a sunny, peachy hue. The strawberries-and-cream palate is carried by a voluminous mousse."
"Chteau dYquem 1988 Sauternes"," A honeyed, smoky, orange/coconut/pineapple-scented nose, this powerful wine possesses full body, layers of highly concentrated, extracted flavors"
"Mollydooker Carnival of Love Shiraz 2016 McLaren Vale","Rich, ripe and full-bodied, this concentrated, single-vineyard 100% Shiraz retains crisp acid, has low to medium levels of soft silky tannins."
"Mollydooker Velvet Glove Shiraz 2014 McLaren Vale","""...creme de cassis, blackberry cordial, dried plums with nuances of mocha, vanilla and chocolate. Very fine in the mouth, it has a nice, crisp acid backbone."". 97 points. Lisa Perrotti-Brown"
"Nyetimber Rose NV","A great home grown alternative to Champagne - delicious!"
"Pedro's Almacenista Selection Amontillado","The subtle and delicate bouquet, suggests notes of hazelnut on the nose, yet with light reminders of yeast but smooth on the palate giving a fresh finish."
"Pedro's Almacenista Selection Fino","Bone dry, the Intense flor character is complemented by almond and fresh apple notes giving a fresh finish. An excellent match for all types of tapas and Asian cuisine. "
"Penfolds Magill Estate 2003","The wine hits the palate with a plethora of flavors, including chocolate, spice box."
"Penfolds Yattarna Chardonnay 2013","Penfolds' quest to create an Australian rival to the top white Burgundies has culminated in this stunningly complex Chardonnay, sourced from select vineyards across Tasmania, Adelaide Hills and Henty."
"Pouilly-Fum Baron de L 2014 Ladoucette","Exceptional elegance and depth with lovely ripe pear flavours overlaying a firm gooseberry structure."
"Rioja Gran Reserva Via Real 2007 CVNE","Expressive and elegant on the nose where notes of spiced aromas of oak are mixed with aromatics of ripe fruit. It is a warm wine, round and long with good acidity and tannins."
"Stags Leap Wine Cellars 'Karia' Chardonnay 2015 Napa Valley","Generous and complex on the nose, which abounds with notes of lemon, orange blossom, fresh apples and toasted brioche. Mouth-filling and delicately spicy, but supremely elegant and refreshing."
"Taylor's Colhita Tawny Port 1966","Overall, it is rather seductive and quite delicious."
"Guidalberto 2015 Tenuta San Guido, IGT Toscana","The varieties are vinified separately before blending and maturation in French and American oak. The wine has an intense violet colour and a soft and rounded fruit profile."
"Au Bon Climat Pinot Noir 'Isabelle' 2013 California","A superbly structured, deep, complex and involving Pinot, and a great benchmarker of the vintage."
"Prima Perla Grand Reserve Brut NV","This is a perfect drink for parties or any kind of celebrations."
"Amarone 2012 Allegrini","With a compelling nose of smoked meat, black cherry and violets the palate is thickly textured with layer after layer of chocolate, fig and exotic spices."
"Vire Clesse Pierre Ponnelle","This crisp and elegant with citrus and stone fruit flavours an a lovely mineral finish."
"Chteau Musar White 2007 Gaston Hochar","Deep golden hues from a glass that exudes baked apple, almond, brioche, apricot and vanillin aromas.  A buttery, rich, honey textured and wine with vanilla, butterscotch, roasted stonefruit and spice."
"Ten Minutes by Tractor Estate Pinot Noir 2015 Mornington Peninsular","Made in small open-topped fermenters with wild yeasts and matured for 11-15 months in French oak, this is an elegant and polished Australian Pinot."
"Capo Martino 2012 Jermann","Friuli has had a history of producing wines of little interest outside the region. Silvio Jermann has changed that. He brings out floral aromas and intense varietal character in this delicious wine."
"Ch. Clos de Vaulicheres Chablis 1er Cru Vaucoupin","The 2015 effort from Ch Clos de Vaulicheres is typical of wines from this vineyard with powerful flavours of white peach and lime zest enhanced by floral and mineral notes."
"Chateau de Chassagne Montrachet 2014",NA
"Chteau D'Yquem 1990 Sauternes","This wine's medium gold colour is accompanied by an exceptionally sweet nose of honeyed tropical fruits, peaches, coconut, and apricots."
"Chteau Doisy Daene 2005","The 2005 Chteau Doisy-Dane has a very attractive nose with perfumed apricot blossom, white peach and honey all infused with cold stone scents."
"Chteau Grand Puy Lacoste 2000 Pauillac, 5me Cru Class","""This is a gorgeous example of one of the most popular wines in the Medoc... Anticipated maturity: 2007-2020+."" - Robert Parker, The Wine Advocate, 93 points."
"Chteau Grand-Puy-Lacoste 2009 Pauillac, 5me Cru Class"," ... it is a heady, rich, beautifully made Pauillac that should be drinkable within 3-4 years. 91-94 points - Robert Parker, Wine Advocate"
"Cillar De Silos Amalio 2014","Amalio is a heady wine with pungent ripe plum flavours.  It is lush and intense with soft intergated tannins that give it a plush feel in the mouth. This is true taste of luxury."
"Dreams Chardonnay 2014 Jermann","The bouquet is intense, with hint of honey and wild flowers. Dry and smooth on the palate with good balance and an exceptionally long finish. Sublime with roast turkey and a white wine gravy."
"Escarpment Te Rehua 2013","""The 2013 Te Rehua Pinot Noir has a pretty floral scented nose of violets and roses over a core of Bing cherries, cranberries and pomegranate."" Lisa Perrotti-Brown - The Wine Advocate"
"Finca Dofi 2014 Alvaro Palacio",NA
"Flowers 'Camp Meeting Ridge'  Chardonnay 2013 Sonoma Coast","A palate of intense depth and complexity complements bright citrus flavours and the classic sea-salt minerality that is typical of this extreme Sonoma Coast estate vineyard."
"Guado al Tasso 2014 Bolgheri Antinori","Highly aromatic notes of mint, mocha, plums and spice meld into a silky smooth palate.  The wine has a extremely lengthy and complex finish."
"LA Spinetta Barbaresco Valeirano 2011","This top quality wine from an excellent estate which is owned and run by the Antinori family. The 1998 is excellent in Piedmont, and this wine is peaking now."
"La Spinetta Barbaresco Starderi 2011","Giorgio Rivetti has unveiled a stunning line of new wines, and a few surprises as well, from his impeccable winery and tasting room at the foot of the Grinzane Cavour castle."
"La Spinetta Gallina 2011","This warm vintage Barbaresco pushes all of the right buttons. The wine excels in terms of texture and intensity."
"La Spinetta Starderi 2013","The wine delivers a tight embroidery of aromas that span from dark fruit to spice, to ethereal notes of balsam herb and cola."
"La Spinetta Valeirano 2013","This fab barbaresco displays and abundance of sweet dark cherry flavours."
"Laroche Chablis 1er Forneaux 2015",NA
"Les Pagodes de Cos 2005 St-Estphe","Deliciously fruity, offering notions of graphite, blackberries, and cherries, fresh acidity, sweet tannin, and real elegance and complexity."
"Lorgeril Chardonnay","Powerful aromas of pineapple, vanilla and fresh exotic fruit throughout the palate. Beautifully well balanced"
"Massolino Barolo 2012 Piedmont","""An expressive, open-knit bouquet leads to ripe red fruit in a soft, mid-weight Barolo. This is a relatively feminine, approachable Barolo"" 89+ points. Antonio Galloni,The Wine Advocate."
"Palacios Mocerbal Bierzo 2012","The 2012 Moncerbal is the stonier, more extreme vineyard that in 2012 somehow feels a little riper. It has aromas of plums and red cherries, a soil, organic touch."
"Peller Cabernet Franc Icewine 2013 Niagara Peninsula Half Bottle","A unique and aromatically rich dessert wine."
"Penfolds Bin A 2012","Penfolds Reserve Bin A Chardonnay has evolved into a wine that is now a distinctive, single region style in its own right, with a contemporary and distinctive Adelaide Hills Chardonnay persona"
"Penfolds Bin A Chardonnay 2015 Adelaide Hills","Reserve Bin A is notable for intense, elegant fruit flavours and distinctive complexity. Individual, fine-grained, French oak barrels have been selected for perfect integration, complexity, and fruit."
"Penfolds Magill 2015","The 2015 Shiraz Magill Estate has a youthfully mute, broody nose of baked blackberries, preserved plums, crme de cassis and mocha with hints of tobacco."
"Penfolds Magill Estate Shiraz 2014 South Australia","One of the best examples around of top-flight Australian Shiraz. The Magill is a single vineyard wine made from 100% Shiraz from vines up to 48 years old."
"Penfolds RWT 2015","RWT Shiraz leaps from the glass with expressive blackberries, black raspberries and wild blueberry."
"Penfolds RWT Shiraz 2014 Magnum","The fleshy, opulent, long, lingering sensations on the palate rounded by subtle French Oak include dark chocolate, liquorice, espresso coffee, and spice."
"Penfolds Yattarna 2015","This wine showing exuberant notes of baked peaches, apple pie, guava and pineapple paste over yeasty/savory notions and a waft of crushed stones."
"Rioja Lanzaga Compania de Vinos Telmo Rodriguez 2011",NA
"Roda Rioja Reserva 2012",NA
"Taylors Vintage Port 1985","The nose has rich black fruit with spice and a hint of cigar-box. A smooth, rich palate, with good fruit and obvious alcohol, which retains a fiery presence. Finishes well."" thewinedoctor.com"
"Ten Minutes by Tractor Wallis Chardonnay 2015 Mornington Peninsula","Gentle white flower and spice aromas complement the pithy citrus palate, and a refined minerality combined with fruit intensity creates an enduring, involving finish."
"Ten Minutes by Tractor Wallis Pinot Noir 2015 Mornington Peninsula","The grapes sourced for these single vineyard wines come from the best blocks on the estate and are only made in tiny quantities in years when the quality is deemed high enough"
"X de Larrivaux 2011","Drinking perfectly now this is an exceptional value claret"
